	text	emotion
37	从即日起 ， 本 博会 不定期 普及 一些 有关 医疗保健 方面 的 小 知识 ， 希望 对 大家 有所 助益 ！ 今天 由于 时间 有限 ， 先 科普 一点 有关 糖尿病 的 误区 ： 1 、 西瓜 含糖量 很少 ， 两餐 之间 可以 吃 一点 ； 2 、 火龙果 含糖量 很 高 ， 最好 不要 再 吃 了 ！ 如果 你 身边 有 糖尿病人 ， 请 提醒 他 ！	none
38	你 太坏 了 ， 金光 童鞋 / / @ 小 二 金光 : 太 可怕 了 ， 哈哈 。 所以 千万 不能 手软 ， 要 痛殴 落水狗 。 我 这 算是 YY 吗 ？	happiness
39	换 了 搜狗 的 拼音输入 法 ， 果然 打字速度 快 多 了 ， 用 起来 很 过瘾 ！ 浏览器 也 换成 搜狗 的 了 ， IE 总 提示 错误 ， 网页 浏览 速度 也 比 IE 快 多 了 ！ 看来 搜狗 的 软件 不错 阿 ， 哈哈 ！ [ 嘻嘻 ]	like
40	男人 也 会 脆弱 ， 也 会 突然 的 莫名 情绪低落 。 所以 ， 当 他 的 脸上 写满 疲惫 ， 眼中 充满 厌倦 ， 请 不要 再 去 追问 是不是 不爱 你 了 。 要 知道 ， 时刻 的 讨好 ， 谁 也 做 不到 。 宝贝 们 ， 此刻 ， 不要 再 去 问 他 怎么 了 ， 只要 安静 的 陪 在 他 身边 就 好 。	none
41	10 月 24 日 晚上 八点 ， 北京电视台 科教 频道 ， 非常 网络 栏目 将 播放 《 收藏 的 诱惑 》 （ 上 ） 。 节目 很 精彩 ， 去 听 我们 可爱 的 翟帅 讲讲 收藏 故事 吧 。 欢迎 大家 准时 收看 哦 ！ [ 太阳 ]	none
42	老人 搓麻 将 成瘾 ， 死 在 麻将桌 上 。 殡葬 时 儿子 写 了 篇 悼词 ： 老爸 ， 昨天 你 两眼 还 像 二饼 ， 今天 就 成 了 二条 , 不知 东南西北 风 哪个 么 鸡 把 您 害 了 ！ 您 的 追悼会 开得 很 隆重 ， 清一色 尽是 您 的 麻友 ， 大家 排成 一条龙 与 您 告别 ， 每人 给 您 献上 一杠 上花 。 您 一生 都 想 发财 结果 仍 是 白板 ， 今到 火葬场 ， 您 终于 糊 了 ！	none
43	好博同 赏 有 水同 灌 — — 下次 转发 别忘了 @   我 一下 [ j 哎呀 ] @ sikwan 的 空间   @ alcanta2009   @ 勤劳 的 肖坤   @ 高思坤   @ benjaminzhai 花园	none
44	从 盘面 看 ， 两种 情况 出现 的 概率 较大 ， 1 、 皇马 1 ： 0 拜仁 ， 依靠 客场 进球 晋级 ； 2 、 两只 球队 战平 ， 拜仁 晋级 。 推荐 下注 方式 ： 波胆 1 ： 0   +   受让 1 球取 拜仁 。	none
45	如果 南中国海 的 石油 开采 能 让 国内 油价 降低 一分钱 ， 我 就 支持 维护 南海 主权 ； 如果 能 降低 一毛 ， 我 愿意 多 缴税 做 军费 ， 如果 降低 一块 ， 我 愿意 参军 。 如果 只是 维护 三大 石油 集团 的 利益 ， 跟 我 有 毛 关系 呢 ？ 那些 像 打 了 鸡血 一样 的 愤青 ， 你 坐飞机 他们 会 给 你 燃油 附加费 打 八折 吗 ？	anger
46	刚才 跟琦琦 在 Q 上聊 了 一下 让 我 豁然开朗 ! 我 不怒 了 ! 我 有 他 八字 ! 他 八字 神煞里 各种 桃花 劫 ! 再 惹 老娘 就 去 请 大师 做法 害死 你 ! 你 的 下个 暧昧 对象 就是 艾滋 女 ! 不 就 花 几千块 钱 吗 ! 孬 给 我 ! 尼玛 想 跟 天蝎 斗 ! 我 的 报复 是 毁灭性 的 ! 明天 农历 十五 去 上 香先 . 把 我 的 想法 跟 大师 谈谈 .	anger
47	& amp ; quot ; 砍 一半 中小学 教材 , 让 教育 彻底 慢下来 ! & amp ; quot ; 不是 不 教育 了 ， 而是 加大 人文 教育 。 @ 美女 爱 粉丝 : 王久 辛提 的 垃圾 建议 ， 你 觉得 要 慢下来 ， 但是 很多 人 却 觉得 不够 快 呢 。 最好 的 方法 是 把 高考 的 限制 放宽 到 初中 毕业 ， 可以 让 穷人 避免 了 高贵 的 学费 ， 让 国家 拥有 更 多 人才 。 也 让 你们 对 教育 服务 不满 的 人 可以 自学 ， 自己 把握 速度 。	none
48	在 影棚 一个 观众 拿 了 我 的 几本书 让 我 签名 ， 完 了 回赠 一本 儿童 科普 书 表示感谢 。 第一次 遇到 这种 情况 。 其实 我要 感谢 他 买 了 我 这么 多书 。	happiness
49	2007 福建 城市   GDP ( 亿 )   增长率   泉州   2367   16.1   福州   1997   14.8   厦门   1478   15.7   漳州   802   15.5   莆田   668   15.1   龙岩   587   15.3   三明   531   16.4   宁德   409   17.8   南平   368   14.6	none
50	如今 ， 19 岁 的 拉 梅拉 已 成为 欧洲 豪门 角逐 的 热门 目标 ， 除了 拜仁 之外 ， 还有 米兰 、 罗马 、 那不勒斯 、 切尔西 和 皇马 有意 引进 这 名下 一位 阿根廷 巨星 ， 拉 梅拉 12 岁 的 时候 曾 拒绝 过 巴萨 的 邀请 ， 如今 他 登陆 欧洲 的 时机 已经 成熟 ， 前两天 鲁梅尼 格 和 河床 主席 一番 电话 交谈 ， 让 拜仁 成为 了 最 有 可能 得到 这名 阿根廷 天才 的 球队 。	none
51	哥哥 你 什么 时候 能 下面 给 我 吃 呢   我 给 你 弄 过 十几 回 了   你 都 没有 ~ ~ ~ ~ ~ ~ ( _ ) ~ ~ ~ ~	sadness
52	[ 大哭 ] 好 感动 ！ [ 惊恐 ] 今天 完全 震撼 了 ！ [ 鲸鱼 ] 谢谢你们 这片 蓝色 海洋 [ 海浪 ] ！ 机场 安检 时 看着 你们 真的 很 舍不得 ！ [ 可爱 ] 以后 还 可以 看见 你们 吗 ？ 重庆 ！ [ 强 ] 雄起 ！ 苏妙玲 ！ [ 强壮 ] 雄起 ！	like
53	尼玛 啊 ！ ！ ！ ！ 我偶 吧 真的 太帅 了 ！ ！ ！ ！ 群体 起立 啊 ！ ！ ！ ！ 观众 鸡血 了 啊 ！ ！ ！ ！ ！ ！ ！ 啊啊啊 啊 啊 ！ ！ ！ 好美 ！ ！ ！ ！	like
54	据省 征兵 办公室 消息 ， 今年 我省 女兵 征兵 名额 比 去年 增加 200 名 ， 达到 690 名 。 巾帼不让须眉 啊 。 女孩子 们 也 很 给 力 [ good ]	happiness
55	2002 年 的 悲伤 往事 ： 2002 年 5 月 7 日 21 时 32 分 ， 大连 周水子 机场 接到 当时 在 傅家庄 上空 的 北方 航空公司 由 北京 飞往 大连 的 CJ6136 麦道 客机 报告 ， 称 机舱 失火 ， 此后 飞机 便 与 机场 失去 联系 。 112 人 遇难 。	sadness
56	反 卡扎菲 武装 表示 ， 由于 政府军 持续 不断 、 肆无忌惮 地 对 他们 发动 空袭 ， 他们 的 火力 已 无法 与 政府军 抗衡 ， 虽然 不 希望 外国 武装 干涉 ， 但 呼吁 国际 社会 在 利比亚 设置 禁飞区 以 阻止 轰炸 。 昨天 奥巴马 与 卡梅伦 达成 共识 ， 共同 目标 是 结束 暴力 ， 驱逐 卡扎菲 下台 。 联合国 一位 副 秘书长 也 谈及 了 设 禁飞区 的 可能 ， 但 无 实质 进展	none
57	现在 上帝 免费送 你 三样 东西 ， 你 想要 什么 ? 三秒钟 ！ 不许 贪 ， 只能 选 三样 ~ 1.5000 万 的 支票 。 2 . 最新款 的 靓车 。 3 . 高级 别墅 。 4 . 高 人气 的 微博 。 5 . 顶级 公司 。 6 . 真心 爱人 。 7 . 偶像 的 签名 合影 照 。 8 . 永远 不 吵架 的 家 。 9 . 可爱 听话 的 宠物 。 10 . 多活 10 年 的 资格 。 （ 相信 明智 的 你 选完 已经 明白 神马 才 是 浮云 ）	none
58	国外 很多 酒店 都 只有 宽带 没 WIFI ， 所以 这次 买 了 这个 迷你 的 无 线路 由 IPAD 伴侣 ， 为 即将 到来 的 旅行 做 准备 ， 据说 是 即 插 即 有 WIFI ， 携带 也 很 方便 ， 就是 不 知道 好用 不 。 。 。	none
59	呜呜 呜 ， 在 那边 住 了 一年 多 ， 我肿 么 一次 都 木有 吃 过 呢 解解 ？ 恨 ！ ！ ！ / / @ 皮姬 ： 同学 们 ， 有个 冬天 俺 见天 吃 这家 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?	sadness
60	想 知道 常山 到 婺源 这 段 高速 开通 了 没有 ? 从 诸暨 到 景德镇 是 走 杭金衢 在 常山 下 走 一段 国道 近 ？ 还是 绕 到 杭州 走 杭徽近 ？	none
61	一个个 造谣 的 让 人 看着 肝 疼儿 ， 特别 是 很多 还 带 着 金光闪闪 的 大 V 字 。 我 真的 很 希望 ， 对于 这种 不负责任 造谣 的 人 ， 请 T 除 V 认证 -   - 小浪 的 V 是 为了 辨别 身份 ， 还是 为了 彰显 身份 ？ 一个个 造谣 的 大言不惭 ， 还 带个 V 牛 逼 轰轰 的 显摆 自己 的 高贵 ， 真 真叫人 恶心 [ 吐 ]	disgust
62	touch 里 还 自动 保存 着 cabare 的 wifi 密码 ! ! 是 多 靠 谱 ! ! [ 耶 ] [ 耶 ] 因为 其实 我 根本 想不起来 了 !	happiness
63	恒通 其实 只不过 代表 了 当地政府 的 态度 ， 就 好像 申沃 、 中通 等 一样 ， 根深蒂固 的 地方 保护 与 对 公共交通 不思进取 的 表态 ， 不 否认 恒通 的 相关 产品 的确 符合 部分 西部 区域 市场 ， 但 不该 成为 部分 城市 技术 停滞不前 的 借口 ！	anger
64	对于 我 来说 ， 头发 已经 很长 很长 了 。 [ 汗 ] 还是 一种 不 加 修饰 的 长 。 最近 很多 人见 我 第一句 除了 说 ， 你 是不是 长胖 了 ， 就是 ， 你 没 剪头发 吧 。 我 只能 说 ， 你们 都 是 好眼力 ！	none
65	若 ， 让 夜 停止 清唱 ， 只 留下 淡淡的 剪影 ， 是否 我 的 惆怅 ， 会 随着 夜 的 静止 而 宁静 。 若 ， 让 回忆 停止 漫延 ， 只 留下 浅浅的 余温 ， 是否 我 的 思念 ， 会 随着 记忆 的 终止 而 停歇 。	sadness
66	近期 题为 《 中国 钢铁业 基本上 在 为 三大 矿业 巨头 打工 》 、 《 2011 年度 全球 铁矿石 现货价 将 创新 高 》 等 报道 和 题为 《 美日欧 竞相 囤积 储备 稀土   联手 施压 中国 廉价 出口 》 报道 所述 的 美国 这个 世界 稀土 资 大国 、 上 世纪 80 年代 世界 上 最大 的 稀土 供应国 ， 不仅 关闭 封存 了 大量 的 稀土矿 ， 还 成为 了 最早 建立 稀土 储备 制度 国家 之一	none
67	半岛 台 说 ， 卡扎菲 的 支持者 和 反对者 都 在 做 决战 准备 以 其 彻底 击溃 对方 。 目前 卡扎菲 及 支持者 依然 控制 着 首都 的黎波里 等 有限 地区 ， 反对派 则 已 控制 全国 80% 土地 及 主要 油田 。 鉴于 国际 大国 及 安理会 立场 明显 一边倒 ， 卡扎菲 的 空军 若 再次 出动 轰炸 对手 ， 极 可能 遭遇 美军 飞机 或 导弹 拦截 ， 形成 美国 和 利比亚 军事 对决 。	none
68	Barclays   Capital 表示 ， 预计 中国 国产 铁矿石 将 抢夺 进口 铁矿石 的 市场 ， 而且 国产 铁矿石 的 高 成本 或 在 中 短期内 为 铁矿石 现货 价格 提供 支撑 。	none
69	头痛 了 几天 ， 同一个 地方 ， 每隔 几秒 就 像 被 拉扯 到 神经 一样 痛 ， 靠 ， 不会 是 脑子 长虫 了 吧 ？ 好怕 啊 ! ! ! 不敢 告诉 妈妈 ， 不敢 说 我 有 去 吃 三文鱼 ， 只能 痛 一下 就 敲 一下 自己 的 脑袋 [ 抓狂 ]   [ 生病 ]   [ 药 ]	fear
70	也 因此 ， 当 这 一 奖项 被 命名 之际 ， 中文 就 在 人类 各 语种 面前 变得 尴尬 。 当 我 有幸 站 在 这 一 略显 孤单 的 获奖 阵容 中之时 ， 即刻 如鱼 在案 ， 内心 的 鳞片 层层 剥落 — — 我们 在 世界 面前 ， 裸 陈 我们 的 卑怯 、 软弱 和 绝望 下 的 扎挣 。	none
71	这是 一部 反映 改革开放 的 主旋律 电影 ， 能 拍成 这样 已经 难得 了 ， 审查 制度 下 只能 出来 这种 片子 ， 对于 导演 阎然 还是 应该 支持 ， 再创 佳片 ！	like
72	治疗 痤疮 小 方 ： ① 洗脸 时用 毛巾 轻擦 皮肤 ， 不 用手挤 ； ② 多 吃 蔬菜水果 ， 少 吃 甜食 、 刺激性 食物 ； ③ 避免 情绪 焦虑 紧张 ； ④ 保持 皮肤 清洁 ； ⑤ 薏米 、 绿豆 各 30 克 ， 薄荷 6 克 ， 冰糖 15 克 。 薄荷 水 煎 30 分钟 ， 去 渣 取汁 ； 绿豆 开水 浸泡 ， 加水煮 至 半熟 ； 加入 薏米 同煮 至 豆 熟米 烂 ， 调入 薄荷 汁 及 冰糖 即 成 。	none
73	还有 一半 才 完工 却 没 水钻 的 妹子 最苦 逼 ！ 室友 友情 赞助 的 钻 钻 没有 施家 的 blingbling ， 眼睛 要 瞎 腰 要 断 还 不能 一次 完工 啊 ！ 尼玛 我 也 伤不起 啊 ！ 烦躁 ， 我 都 躁动 了 ！ 有木有 ！ 伤不起 ！ [ 泪 ] [ 泪 ] [ 泪 ]	anger
74	报道 称 ， 受 落实 政府 第 11 号 文件 ， 削减 公共 投资 的 影响 ， 越南 许多 工程项目 暂缓 ， 导致 国内 钢材 售量 下滑 ， 建筑 钢材 库存 达 45 万吨 ， 钢坯 库存 达 50 万吨 。 预计 ， 目前 越南 钢材 的 产量 和 库存量 可 满足 本 建筑 年度 需要 ， 未来 即使 国际钢铁 原料 上涨 ， 越南 市场 上 的 钢材价格 也 不会 骤涨 。	none
75	靠 ！ GDP 全球 第二 了 ， 中秋节 连 个 月亮 也 看不见 ！ 就 不能 花 几百个 亿让 月亮 露出 来 让 老百姓 真 高兴 一回 ？ [ 酷 ]	disgust
76	明天 郑州 就要 大河 车展 了 ， 祝 我 多多 的 卖车 吧 。 如果 对车 感兴趣 的 客户 来 我们 展场 看看 噢 ， 我们 是 东风 风神 噢 ， 记住 了 吗 ？ [ 呵呵 ]	like
